printouts,fulltext,fullurl,namespace,exists,displaytitle
[],Epilobium clavatum,//floranorthamerica.org/Epilobium_clavatum,0,1,Epilobium clavatum
[],Epilobium cleistogamum,//floranorthamerica.org/Epilobium_cleistogamum,0,1,Epilobium cleistogamum
[],Epilobium coloratum,//floranorthamerica.org/Epilobium_coloratum,0,1,Epilobium coloratum
[],Epilobium davuricum,//floranorthamerica.org/Epilobium_davuricum,0,1,Epilobium davuricum
[],Epilobium densiflorum,//floranorthamerica.org/Epilobium_densiflorum,0,1,Epilobium densiflorum
[],Epilobium densum,//floranorthamerica.org/Epilobium_densum,0,1,Epilobium densum
[],Epilobium foliosum,//floranorthamerica.org/Epilobium_foliosum,0,1,Epilobium foliosum
[],Epilobium glaberrimum,//floranorthamerica.org/Epilobium_glaberrimum,0,1,Epilobium glaberrimum
[],Epilobium hallianum,//floranorthamerica.org/Epilobium_hallianum,0,1,Epilobium hallianum
[],Epilobium hirsutum,//floranorthamerica.org/Epilobium_hirsutum,0,1,Epilobium hirsutum
[],Epilobium hornemannii,//floranorthamerica.org/Epilobium_hornemannii,0,1,Epilobium hornemannii
[],Epilobium howellii,//floranorthamerica.org/Epilobium_howellii,0,1,Epilobium howellii
[],Epilobium lactiflorum,//floranorthamerica.org/Epilobium_lactiflorum,0,1,Epilobium lactiflorum
[],Epilobium leptocarpum,//floranorthamerica.org/Epilobium_leptocarpum,0,1,Epilobium leptocarpum
[],Epilobium leptophyllum,//floranorthamerica.org/Epilobium_leptophyllum,0,1,Epilobium leptophyllum
[],Epilobium luteum,//floranorthamerica.org/Epilobium_luteum,0,1,Epilobium luteum
[],Epilobium minutum,//floranorthamerica.org/Epilobium_minutum,0,1,Epilobium minutum
[],Epilobium mirabile,//floranorthamerica.org/Epilobium_mirabile,0,1,Epilobium mirabile
[],Epilobium montanum,//floranorthamerica.org/Epilobium_montanum,0,1,Epilobium montanum
[],Epilobium nevadense,//floranorthamerica.org/Epilobium_nevadense,0,1,Epilobium nevadense
[],Epilobium nivium,//floranorthamerica.org/Epilobium_nivium,0,1,Epilobium nivium
[],Epilobium obcordatum,//floranorthamerica.org/Epilobium_obcordatum,0,1,Epilobium obcordatum
[],Epilobium obscurum,//floranorthamerica.org/Epilobium_obscurum,0,1,Epilobium obscurum
[],Epilobium oreganum,//floranorthamerica.org/Epilobium_oreganum,0,1,Epilobium oreganum
[],Epilobium oregonense,//floranorthamerica.org/Epilobium_oregonense,0,1,Epilobium oregonense
[],Epilobium pallidum,//floranorthamerica.org/Epilobium_pallidum,0,1,Epilobium pallidum
[],Epilobium palustre,//floranorthamerica.org/Epilobium_palustre,0,1,Epilobium palustre
[],Epilobium parviflorum,//floranorthamerica.org/Epilobium_parviflorum,0,1,Epilobium parviflorum
[],Epilobium rigidum,//floranorthamerica.org/Epilobium_rigidum,0,1,Epilobium rigidum
[],Epilobium saximontanum,//floranorthamerica.org/Epilobium_saximontanum,0,1,Epilobium saximontanum
